Assignment,Organization Name
a03299,"Lenovo (Beijing) Co., Ltd."
5ccf7f,Espressif Inc.
681295,Lupine Lighting Systems GmbH
90dffb,HOMERIDER SYSTEMS
2c081c,OVH
c08488,Finis Inc
3c831e,CKD Corporation
54a3fa,BQT Solutions (Australia)Pty Ltd
acee9e,"Samsung Electronics Co.,Ltd"
b857d8,"Samsung Electronics Co.,Ltd"
7011ae,Music Life LTD
acc51b,"Zhuhai Pantum Electronics Co., Ltd."
b844d9,"Apple, Inc."
385f66,Cisco SPVTG
9c7a03,Ciena Corporation
246c8a,YUKAI Engineering
041e7a,DSPWorks
1c497b,"Gemtek Technology Co., Ltd."
2ccf58,"HUAWEI TECHNOLOGIES CO.,LTD"
d09380,Ducere Technologies Pvt. Ltd.
68f956,Objetivos y Servicio de Valor Añadido
84a788,Perples
ac60b6,Ericsson AB
14b370,"Gigaset Digital Technology (Shenzhen) Co., Ltd."
c8a9fc,Goyoo Networks Inc.
444ca8,Arista Networks
7c2be1,"Shenzhen Ferex Electrical Co.,Ltd"
5031ad,ABB Global Industries and Services Private Limited
6889c1,"HUAWEI TECHNOLOGIES CO.,LTD"
143ebf,zte corporation
fc2fef,"UTT Technologies Co., Ltd."
20f510,Codex Digital Limited
a8741d,PHOENIX CONTACT Electronics GmbH
fcfec2,Invensys Controls UK Limited
689ab7,Atelier Vision Corporation
a8d828,Ascensia Diabetes Care
b869c2,"Sunitec Enterprise Co., Ltd."
88cba5,"Suzhou Torchstar Intelligent Technology Co.,Ltd"
f09a51,Shanghai Viroyal Electronic Technology Company Limited
7ca23e,"HUAWEI TECHNOLOGIES CO.,LTD"
a4c138,Telink Semiconductor (Taipei) Co. Ltd.
4cb82c,"Cambridge Mobile Telematics, Inc."
e4a32f,"Shanghai Artimen Technology Co., Ltd."
f4672d,ShenZhen Topstar Technology Company
a48d3b,"Vizio, Inc"
1c56fe,"Motorola Mobility LLC, a Lenovo Company"
501aa5,GN Netcom A/S
bceb5f,"Fujian Beifeng Telecom Technology Co., Ltd."
b899b0,Cohere Technologies
d85def,Busch-Jaeger Elektro GmbH
f0ab54,"MITSUMI ELECTRIC CO.,LTD."
14157c,"TOKYO COSMOS ELECTRIC CO.,LTD."
20e407,Spark srl
887384,Toshiba
46169,"MEDIA GLOBAL LINKS CO., LTD."
d09dab,TCT mobile ltd
3c3178,Qolsys Inc.
809fab,"Fiberhome Telecommunication Technologies Co.,LTD"
e00370,"ShenZhen Continental Wireless Technology Co., Ltd."
88a2d7,"HUAWEI TECHNOLOGIES CO.,LTD"
00323a,so-logic
08eca9,"Samsung Electronics Co.,Ltd"
ac5a14,"Samsung Electronics Co.,Ltd"
e04b45,Hi-P Electronics Pte Ltd
f46a92,"SHENZHEN FAST TECHNOLOGIES CO.,LTD"
f0d657,ECHOSENS
c8e130,Milkyway Group Ltd
1cc586,Absolute Acoustics
24b0a9,Shanghai Mobiletek Communication Ltd.
ac562c,LAVA INTERNATIONAL(H.K) LIMITED
fc9afa,Motus Global Inc.
9c37f4,"HUAWEI TECHNOLOGIES CO.,LTD"
3c4711,"HUAWEI TECHNOLOGIES CO.,LTD"
5ceb68,"Cheerstar Technology Co., Ltd"
1cf03e,Wearhaus Inc.
24693e,innodisk Corporation
c0dc6a,"Qingdao Eastsoft Communication Technology Co.,LTD"
486efb,"Davit System Technology Co., Ltd."
b0966c,Lanbowan Technology Ltd.
407fe0,Glory Star Technics (ShenZhen) Limited
805067,W & D TECHNOLOGY CORPORATION
247656,"Shanghai Net Miles Fiber Optics Technology Co., LTD."
f8cfc5,"Motorola Mobility LLC, a Lenovo Company"
70da9c,TECSEN
78400000,"Samsung Electronics Co.,Ltd"
e09971,"Samsung Electronics Co.,Ltd"
2ca2b4,"Fortify Technologies, LLC"
146b72,"Shenzhen Fortune Ship Technology Co., Ltd."
b8f080,"SPS, INC."
c43abe,Sony Corporation
883b8b,Cheering Connection Co. Ltd.
e4f939,Minxon Hotel Technology INC.
78f944,Private
5c5b35,"Mist Systems, Inc."
a47b85,"ULTIMEDIA Co Ltd,"
ecbafe,GIROPTIC
3c2c94,"杭州德澜科技有限公司（HangZhou Delan Technology Co.,Ltd）"
847303,Letv Mobile and Intelligent Information Technology (Beijing) Corporation Ltd.
241b44,"Hangzhou Tuners Electronics Co., Ltd"
3cc2e1,"XINHUA CONTROL ENGINEERING CO.,LTD"
e48501,Geberit International AG
206274,Microsoft Corporation
e8162b,"IDEO Security Co., Ltd."
80a85d,Osterhout Design Group
accaab,Virtual Electric Inc
485415,NET RULES TECNOLOGIA EIRELI
e0fff7,Softiron Inc.
8c873b,Leica Camera AG
78e980,"RainUs Co.,Ltd"
10d38a,"Samsung Electronics Co.,Ltd"
142971,NEMOA ELECTRONICS (HK) CO. LTD
b47356,"Hangzhou Treebear Networking Co., Ltd."
346895,"Hon Hai Precision Ind. Co.,Ltd."
3.49e+36,Evervictory Electronic Co.Ltd
3cb792,"Hitachi Maxell, Ltd., Optronics Division"
d89341,General Electric Global Research
700fc7,"SHENZHEN IKINLOOP TECHNOLOGY CO.,LTD."
f8b2f3,"GUANGZHOU BOSMA TECHNOLOGY CO.,LTD"
5c966a,RTNET
bc74d7,"HangZhou JuRu Technology CO.,LTD"
28d98a,"Hangzhou Konke Technology Co.,Ltd."
3560,Rosen Aviation
f8bc41,Rosslare Enterprises Limited
78eb14,"SHENZHEN FAST TECHNOLOGIES CO.,LTD"
3c4937,ASSMANN Electronic GmbH
844464,ServerU Inc
3c6a9d,Dexatek Technology LTD.
bcbc46,SKS Welding Systems GmbH
d88039,Microchip Technology Inc.
1c9ecb,Beijing Nari Smartchip Microelectronics Company Limited
dcc622,BUHEUNG SYSTEM
8870ef,"SC Professional Trading Co., Ltd."
c40880,"Shenzhen UTEPO Tech Co., Ltd."
582136,"KMB systems, s.r.o."
800902,"Keysight Technologies, Inc."
499000000,"Shenzhen Yoostar Technology Co., Ltd"
902cc7,C-MAX Asia Limited
94c038,Tallac Networks
6836b5,"DriveScale, Inc."
70ff5c,"Cheerzing Communication(Xiamen)Technology Co.,Ltd"
14f893,"Wuhan FiberHome Digital Technology Co.,Ltd."
9816ec,IC Intracom
90179b,Nanomegas
4c48da,"Beijing Autelan Technology Co.,Ltd"
38b1db,"Hon Hai Precision Ind. Co.,Ltd."
34f6d2,"Panasonic Taiwan Co.,Ltd."
307512,Sony Corporation
d48f33,Microsoft Corporation
34b7fd,"Guangzhou Younghead Electronic Technology Co.,Ltd"
b47c29,"Shenzhen Guzidi Technology Co.,Ltd"
54f876,ABB AG
84930c,InCoax Networks Europe AB
1ca2b1,ruwido austria gmbh
384b76,AIRTAME ApS
205cfa,"Yangzhou ChangLian Network Technology Co,ltd."
64002d,"Powerlinq Co., LTD"
489d18,Flashbay Limited
b41780,DTI Group Ltd
d062a0,"China Essence Technology (Zhumadian) Co., Ltd."
20a99b,Microsoft Corporation
604826,Newbridge Technologies Int. Ltd.
90203a,"BYD Precision Manufacture Co.,Ltd"
d80ccf,C.G.V. S.A.S.
38f33f,TATSUNO CORPORATION
3cd9ce,Eclipse WiFi
608000,"Samsung Electronics Co.,Ltd"
fc1910,"Samsung Electronics Co.,Ltd"
4cbb58,"Chicony Electronics Co., Ltd."
a41242,"NEC Platforms, Ltd."
c40006,Lipi Data Systems Ltd.
38262b,UTran Technology
fc790b,"Hitachi High Technologies America, Inc."
480c49,NAKAYO Inc
d00aab,Yokogawa Digital Computer Corporation
98f170,"Murata Manufacturing Co., Ltd."
04c991,Phistek INC.
6.86e+50,"Prophet Electronic Technology Corp.,Ltd"
14b484,"Samsung Electronics Co.,Ltd"
c4c9ec,Gugaoo   HK Limited
3ca10d,"Samsung Electronics Co.,Ltd"
646cb2,"Samsung Electronics Co.,Ltd"
680571,"Samsung Electronics Co.,Ltd"
8401a7,"Greyware Automation Products, Inc"
6081f9,"Helium Systems, Inc"
50c7bf,"TP-LINK TECHNOLOGIES CO.,LTD."
209ae9,"Volacomm Co., Ltd"
345d10,Wytek
6c14f7,Erhardt+Leimer GmbH
a8a668,zte corporation
aca9a0,"Audioengine, Ltd."
a481ee,Nokia Corporation
78d66f,Aristocrat Technologies Australia Pty. Ltd.
4.41e+93,"ARVIDA Intelligent Electronics Technology  Co.,Ltd."
f4c447,Coagent International Enterprise Limited
a43d78,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD"
2053ca,Risk Technology Ltd
34e42a,Automatic Bar Controls Inc.
20a787,Bointec Taiwan Corporation Limited
b0d59d,"Shenzhen Zowee Technology Co., Ltd"
6828ba,Dejai
a0fc6e,Telegrafia a.s.
04572f,Sertel Electronics UK Ltd
d8977c,Grey Innovation
bc8d0e,Nokia
78923e,Nokia Corporation
a49f85,"Lyve Minds, Inc"
c4626b,ZPT Vigantice
ec1766,Research Centre Module
a0d12a,AXPRO Technology Inc.
b05706,Vallox Oy
48ee07,Silver Palm Technologies LLC
00eebd,HTC Corporation
a824eb,ZAO NPO Introtest
3c89a6,KAPELSE
a46cc1,LTi REEnergy GmbH
205a00,Coval
c40e45,"ACK Networks,Inc."
a8b9b3,ESSYS
6c09d6,Digiquest Electronics LTD
447098,MING HONG TECHNOLOGY (SHEN ZHEN) LIMITED
481842,Shanghai Winaas Co. Equipment Co. Ltd.
2c534a,Shenzhen Winyao Electronic Limited
a4bbaf,Lime Instruments
f490ca,Tensorcom
d4319d,Sinwatec
b068b6,Hangzhou OYE Technology Co. Ltd
e44c6c,"Shenzhen Guo Wei Electronic Co,. Ltd."
38f708,"National Resource Management, Inc."
e0db88,Open Standard Digital-IF Interface for SATCOM Systems
282246,"Beijing Sinoix Communication Co., LTD"
9c65f9,AcSiP Technology Corp.
487604,Private
9cbd9d,"SkyDisk, Inc."
74c621,"Zhejiang Hite Renewable Energy Co.,LTD"
a8574e,"TP-LINK TECHNOLOGIES CO.,LTD."
48b977,PulseOn Oy
c4824e,"Changzhou Uchip Electronics Co., LTD."
b843e4,Vlatacom
7071b3,Brain Corporation
64e625,"Woxu Wireless Co., Ltd"
10b713,Private
208986,zte corporation
b8266c,ANOV France
182012,Aztech Associates Inc.
3c300c,Dewar Electronics Pty Ltd
84027,Gridstore Inc.
a47760,Nokia Corporation
c85663,Sunflex Europe GmbH
88fed6,"ShangHai WangYong Software Co., Ltd."
7c72e4,Unikey Technologies
7c2048,KoamTac
b07908,Cummings Engineering
e47723,zte corporation
9ca9e4,zte corporation
90f3b7,"Kirisun Communications Co., Ltd."
44c56f,"NGN Easy Satfinder (Tianjin) Electronic Co., Ltd"
b898f7,"Gionee Communication Equipment Co,Ltd.ShenZhen"
848336,Newrun
5c2aef,  r2p Asia-Pacific Pty Ltd
b87ac9,Siemens Ltd.
f06130,"Advantage Pharmacy Services, LLC"
98ffd0,Lenovo Mobile Communication Technology Ltd.
38bf2f,Espec Corp.
a875e2,"Aventura Technologies, Inc."
8cb7f7,"Shenzhen UniStrong Science & Technology Co., Ltd"
18aa45,Fon Technology
94b9b4,Aptos Technology
1c63b7,OpenProducts 237 AB
b4527e,Sony Corporation
44c4a9,"Opticom Communication, LLC"
6c3c53,SoundHawk Corp
644214,Swisscom Energy Solutions AG
0ca694,"Sunitec Enterprise Co.,Ltd"
184462,"Riava Networks, Inc."
146080,zte corporation
9cbb98,"Shen Zhen RND Electronic Co.,LTD"
cc720f,Viscount Systems Inc.
7060de,LaVision GmbH
502e5c,HTC Corporation
fcfe77,"Hitachi Reftechno, Inc."
70533f,Alfa Instrumentos Eletronicos Ltda.
38b74d,Fijowave Limited
180c14,iSonea Limited
c4e92f,AB Sciex
a88d7b,SunDroid Global limited.
c03580,A&R TECH
d08a55,Skullcandy
344f3f,"IO-Power Technology Co., Ltd."
14500000,AVISTEL
d095c7,"Pantech Co., Ltd."
dc3ef8,Nokia Corporation
a49f89,Shanghai Rui Rui Communication Technology Co.Ltd.
50c271,SECURETECH INC
407a80,Nokia Corporation
d02c45,"littleBits Electronics, Inc."
b4a82b,"Histar Digital Electronics Co., Ltd."
284d92,Luminator
248000,Westcontrol AS
1c4bb9,"SMG ENTERPRISE, LLC"
902083,General Engine Management Systems Ltd.
14b126,Industrial Software Co
d850e6,ASUSTek COMPUTER INC.
3cf748,"Shenzhen Linsn Technology Development Co.,Ltd"
6c15f9,Nautronix Limited
643f5f,Exablaze
742b62,FUJITSU LIMITED
e0d1e6,Aliph dba Jawbone
709bfc,Bryton Inc.
d82d9b,"Shenzhen G.Credit Communication Technology Co., Ltd"
ace42e,SK hynix
f45f69,Matsufu Electronics distribution Company
28a1eb,"ETEK TECHNOLOGY (SHENZHEN) CO.,LTD"
b8f828,Changshu Gaoshida Optoelectronic Technology Co. Ltd.
3c1a57,Cardiopulmonary Corp
541b5d,Techno-Innov
205721,"Salix Technology CO., Ltd."
883612,"SRC Computers, LLC"
83571,CASwell INC.
9876b6,Adafruit
503cc4,Lenovo Mobile Communication Technology Ltd.
9ce7bd,"Winduskorea co., Ltd"
3842a6,Ingenieurbuero Stahlkopf
940bd5,"Himax Technologies, Inc"
54fb58,"WISEWARE, Lda"
2ccd69,Aqavi.com
8c2f39,IBA Dosimetry GmbH
c0a0bb,D-Link International
2c7b84,OOO Petr Telegin
a4c0c7,ShenZhen Hitom Communication Technology Co..LTD
18104e,CEDINT-UPM
789f4c,HOERBIGER Elektronik GmbH
346178,The Boeing Company
044f8b,"Adapteva, Inc."
78fe41,Socus networks
9c1465,Edata Elektronik San. ve Tic. A.Ş.
4c55cc,Zentri Pty Ltd
00c5db,Datatech Sistemas Digitales Avanzados SL
8cf945,Power Automation pte Ltd
f842fb,"Yasuda Joho Co.,ltd."
887398,K2E Tekpoint
2c922c,"Kishu Giken Kogyou Company Ltd,."
882364,Watchnet DVR Inc
581cbd,Affinegy
284fce,"Liaoning Wontel Science and Technology Development Co.,Ltd."
048d38,Netcore Technology Inc.
a4fb8d,Hangzhou Dunchong Technology Co.Ltd
107a86,U&U ENGINEERING INC.
40bd9e,"Physio-Control, Inc"
6c5779,"Aclima, Inc."
c0da74,"Hangzhou Sunyard Technology Co., Ltd."
043d98,"ChongQing QingJia Electronics CO.,LTD"
e03e4a,Cavanagh Group International
dc6f00,"Livescribe, Inc."
54e3b0,JVL Industri Elektronik
306112,PAV GmbH
041b94,Host Mobility AB
a0cec8,CE LINK LIMITED
907a28,Beijing Morncloud Information And Technology Co. Ltd.
d8fee3,D-Link International
50a0bf,Alba Fiber Systems Inc.
b836d8,Videoswitch
3c977e,IPS Technology Limited
58f387,Airios
f4cd90,Vispiron Rotec GmbH
542160,Alula
806c8b,KAESER KOMPRESSOREN AG
1001ca,Ashley Butterworth
246aab,IT-IS International
fc4bbc,"Sunplus Technology Co., Ltd."
3065ec,Wistron (ChongQing)
f07f0c,Leopold Kostal GmbH &Co. KG
4c6255,SANMINA-SCI SYSTEM DE MEXICO S.A. DE C.V.
dc825b,"JANUS, spol. s r.o."
9ca577,Osorno Enterprises Inc.
c04301,Epec Oy
e07c62,"Whistle Labs, Inc."
804b20,Ventilation Control
287994,"Realplay Digital Technology(Shenzhen) Co.,Ltd"
18d6cf,Kurth Electronic GmbH
f48139,CANON INC.
1836fc,Elecsys International Corporation
a4d094,VIVAVIS AG
2c9464,"Cincoze Co., Ltd."
c419ec,Qualisys AB
604a1c,SUYIN Corporation
82719,APS systems/electronic AG
505ac6,"GUANGDONG SUPER TELECOM CO.,LTD."
74d02b,ASUSTek COMPUTER INC.
a01c05,"NIMAX TELECOM CO.,LTD."
b863bc,"ROBOTIS, Co, Ltd"
980d2e,HTC Corporation
94b8c5,RuggedCom Inc.
9c79ac,"Suntec Software(Shanghai) Co., Ltd."
d464f7,"CHENGDU USEE DIGITAL TECHNOLOGY CO., LTD"
60100,EltexAlatau
542cea,PROTECTRON
60e00e,SHINSEI ELECTRONICS CO LTD
545414,"Digital RF Corea, Inc"
24eb65,SAET I.S. S.r.l.
d0f27f,"SteadyServ Technoligies, LLC"
e894f6,"TP-LINK TECHNOLOGIES CO.,LTD."
188410,CoreTrust Inc.
846223,"Shenzhen Coship Electronics Co., Ltd."
1cfa68,"TP-LINK TECHNOLOGIES CO.,LTD."
dc1dd4,Microstep-MIS spol. s r.o.
fcdd55,"Shenzhen WeWins wireless Co.,Ltd"
b01743,EDISON GLOBAL CIRCUITS LLC
d0be2c,"CNSLink Co., Ltd."
5c8486,Brightsource Industries Israel LTD
50cd32,"NanJing Chaoran Science & Technology Co.,Ltd."
bcbae1,AREC Inc.
18fa6f,ISC applied systems corp
e0edc7,"Shenzhen Friendcom Technology Development Co., Ltd"
b4dd15,ControlThings Oy Ab
e0c6b3,MilDef AB
60601f,"SZ DJI TECHNOLOGY CO.,LTD"
6472d8,"GooWi Technology Co.,Limited"
fc229c,"Han Kyung I Net Co.,Ltd."
1832a2,"LAON TECHNOLOGY CO., LTD."
9498a2,Shanghai LISTEN TECH.LTD
dc2bca,Zera GmbH
c0885b,"SnD Tech Co., Ltd."
3cfb96,Emcraft Systems LLC
081f3f,WondaLink Inc.
40516c,Grandex International Corporation
1850,Hanyang Digitech Co.Ltd
d4a499,InView Technology Corporation
08482c,"Raycore Taiwan Co., LTD."
2c26c5,zte corporation
68900000000,"Orbotix, Inc."
c05e6f,"V. Stonkaus firma ""Kodinis Raktas"""
d819ce,Telesquare
c04a00,"TP-LINK TECHNOLOGIES CO.,LTD."
045fa7,"Shenzhen Yichen Technology Development Co.,LTD"
94c962,Teseq AG
dc2a14,Shanghai Longjing Technology Co.
c011a6,Fort-Telecom ltd.
c0b8b1,BitBox Ltd
f82edb,RTW GmbH & Co. KG
808b5c,"Shenzhen Runhuicheng Technology Co., Ltd"
105f06,"Actiontec Electronics, Inc"
87999,AIM GmbH
00c14f,"DDL Co,.ltd."
807b1e,"Corsair Memory, Inc."
b4ab2c,MtM Technology Corporation
74372f,"Tongfang Shenzhen Cloudcomputing Technology Co.,Ltd"
e8a364,Signal Path International / Peachtree Audio
bc51fe,Swann communications Pty Ltd
e0cec3,ASKEY COMPUTER CORP
f0219d,Cal-Comp Electronics & Communications Company Ltd.
181725,"Cameo Communications, Inc."
8462a6,"EuroCB (Phils), Inc."
84c8b1,Incognito Software Systems Inc.
30d357,"Logosol, Inc."
bc39a6,"CSUN System Technology Co.,LTD"
ecb541,SHINANO E and E Co.Ltd.
dcc0db,"Shenzhen Kaiboer Technology Co., Ltd."
ac5d10,Pace Americas
88f490,Jetmobile Pte Ltd
1c9179,Integrated System Technologies Ltd
38f597,home2net GmbH
a875d6,"FreeTek International Co., Ltd."
10a743,SK Mtek Limited
547fa8,"TELCO systems, s.r.o."
5470000000,Webtech Wireless
c46df1,DataGravity
fc626e,Beijing MDC Telecom
e4f365,"Time-O-Matic, Inc."
e4c146,Objetivos y Servicios de Valor A
d40057,MC Technologies GmbH
34fa40,"Guangzhou Robustel Technologies Co., Limited"
1c5a6b,Philips Electronics Nederland BV
94fd2e,"Shanghai Uniscope Technologies Co.,Ltd"
a0bab8,Pixon Imaging
74e424,APISTE CORPORATION
789f87,Siemens AG I IA PP PRM
5ce0f6,NIC.br- Nucleo de Informacao e Coordenacao do Ponto BR
c83d97,Nokia Corporation
0cf361,Java Information
b0358d,Nokia Corporation
d410cf,"Huanshun Network Science and Technology Co., Ltd."
6cb311,"Shenzhen Lianrui Electronics Co.,Ltd"
d8d5b9,"Rainforest Automation, Inc."
2411d0,"Chongqing Ehs Science and Technology Development Co.,Ltd."
b461ff,Lumigon A/S
a0a130,DLI Taiwan Branch office
f8e4fb,"Actiontec Electronics, Inc"
8c4aee,GIGA TMS INC
34c99d,EIDOLON COMMUNICATIONS TECHNOLOGY CO. LTD.
802fde,Zurich Instruments AG
5c38e0,"Shanghai Super Electronics Technology Co.,LTD"
30215b,"Shenzhen Ostar Display Electronic Co.,Ltd"
cc593e,Sensium Healthcare Limited
ece915,STI Ltd
80d733,"QSR Automations, Inc."
303d08,GLINTT TES S.A.
a81faf,KRYPTON POLSKA
08e5da,"NANJING FUJITSU COMPUTER PRODUCTS CO.,LTD. "
58800000,IP500 Alliance e.V.
600f77,"SilverPlus, Inc"
ace64b,"Shenzhen Baojia Battery Technology Co., Ltd."
08af78,"Totus Solutions, Inc."
044bff,"GuangZhou Hedy Digital Technology Co., Ltd"
30fd11,MACROTECH (USA) INC.
6032f0,Mplus technology
d8af3b,"Hangzhou Bigbright Integrated communications system Co.,Ltd"
2829d9,GlobalBeiMing technology (Beijing)Co. Ltd
88615a,Siano Mobile Silicon Ltd.
70e24c,SAE IT-systems GmbH & Co. KG
d0738e,"DONG OH PRECISION CO., LTD. "
64c944,"LARK Technologies, Inc"
1c9492,RUAG Schweiz AG
b889ca,"ILJIN ELECTRIC Co., Ltd."
64f50e,Kinion Technology Company Limited
601929,VOLTRONIC POWER TECHNOLOGY(SHENZHEN) CORP.
48b253,Marketaxess Corporation
305d38,Beissbarth 
60d2b9,"REALAND BIO CO., LTD."
0c93fb,BNS Solutions
e44f5f,EDS Elektronik Destek San.Tic.Ltd.Sti
e86d54,Digit Mobile Inc
e8718d,Elsys Equipamentos Eletronicos Ltda
00fd4c,NEVATEC
144319,Creative&Link Technology Limited
1848d8,Fastback Networks
c8c791,Zero1.tv GmbH
ecd925,RAMI
005d03,"Xilinx, Inc"
d04cc1,SINTRONES Technology Corp.
503f56,Syncmold Enterprise Corp
8ceec6,Precepscion Pty. Ltd.
c4da26,NOBLEX SA
7cc8ab,"Acro Associates, Inc."
10f3db,"Gridco Systems, Inc."
101248,"ITG, Inc."
74943d,AgJunction
d8aff1,Panasonic Appliances Company
2c6289,Regenersis (Glenrothes) Ltd
58ece1,Newport Corporation
4c09b4,zte corporation
58cf4b,Lufkin Industries
68b43a,"WaterFurnace International, Inc."
4c7897,Arrowhead Alarm Products Ltd
b0c83f,"Jiangsu Cynray IOT Co., Ltd."
3cf392,Virtualtek. Co. Ltd
149fe8,Lenovo Mobile Communication Technology Ltd.
bcd940,"ASR Co,.Ltd."
049c62,BMT Medical Technology s.r.o.
0c2a69,"electric imp, incorporated"
c455c2,Bach-Simpson
00e8ab,"Meggitt Training Systems, Inc."
b4218a,Dog Hunter LLC
f0d3e7,Sensometrix SA
b01266,Futaba-Kikaku
7cc8d0,"TIANJIN YAAN TECHNOLOGY CO., LTD."
88e917,Tamaggo
909de0,Newland Design + Assoc. Inc.
709ba5,"Shenzhen Y&D Electronics Co.,LTD."
b48910,Coster T.E. S.P.A.
44e8a5,Myreka Technologies Sdn. Bhd.
b482c5,"Relay2, Inc."
985e1b,"ConversDigital Co., Ltd."
60d1aa,Vishal Telecommunications Pvt Ltd
d48cb5,"Cisco Systems, Inc"
388ab7,ITC Networks
bcc23a,Thomson Video Networks
acc2ec,CLT INT'L IND. CORP.
a865b2,"DONGGUAN YISHANG ELECTRONIC TECHNOLOGY CO., LIMITED"
e8d0fa,MKS Instruments Deutschland GmbH
98262a,"Applied Research Associates, Inc"
3c9174,ALONG COMMUNICATION TECHNOLOGY
fc5090,SIMEX Sp. z o.o.
60b982,RO.VE.R. Laboratories S.p.A.
dc37d2,"Hunan HKT Electronic Technology Co., Ltd"
549d85,EnerAccess inc
b0750c,QA Cafe
b4e1eb,Private
b46238,Exablox
c8bbd3,Embrane
ecd19a,"Zhuhai Liming Industries Co., Ltd"
348137,UNICARD SA
38b12d,Sonotronic Nagel GmbH
e83efb,GEODESIC LTD.
9ce10e,NCTech Ltd
a06d09,Intelcan Technosystems Inc.
60f3da,Logic Way GmbH
acee3b,6harmonics Inc
1c6bca,"Mitsunami Co., Ltd."
642400,Xorcom Ltd.
3c363d,Nokia Corporation
808698,Netronics Technologies Inc.
407074,"Life Technology (China) Co., Ltd"
20f002,MTData Developments Pty. Ltd.
1cf4ca,Private
b4a4b5,"Zen Eye Co.,Ltd"
2c750f,Shanghai Dongzhou-Lawton Communication Technology Co. Ltd.
5c5015,"Cisco Systems, Inc"
141a51,Treetech Sistemas Digitais
587fc8,S2M
200505,RADMAX COMMUNICATION PRIVATE LIMITED
ac1461,"ATAW  Co., Ltd."
e4c6e6,"Mophie, LLC"
502d1d,Nokia Corporation
f48e09,Nokia Corporation
8c57fd,LVX Western
54e63f,"ShenZhen LingKeWeiEr Technology Co., Ltd."
20fabb,Cambridge Executive Limited
8020af,"Trade FIDES, a.s."
3cb87a,Private
088f2c,Amber Technology Ltd.
441319,WKK TECHNOLOGY LTD.
3c9f81,"Shenzhen CATIC Bit Communications Technology Co.,Ltd"
445f7a,Shihlin Electric & Engineering Corp.
5848c0,COFLEC
18b591,I-Storm
002d76,TITECH GmbH
8c604f,"Cisco Systems, Inc"
a4b980,Parking BOXX Inc.
a47c14,ChargeStorm AB
980284,Theobroma Systems GmbH
1cd40c,Kriwan Industrie-Elektronik GmbH
f8db4c,"PNY Technologies, INC."
0c9d56,Consort Controls Ltd
a05e6b,"MELPER Co., Ltd."
d878e5,KUHN SA
d824bd,"Cisco Systems, Inc"
28cd1c,Espotel Oy
d443a8,"Changzhou Haojie Electric Co., Ltd."
bce59f,"WATERWORLD Technology Co.,LTD"
c035bd,Velocytech Aps
287184,Spire Payments
7cb03e,OSRAM GmbH
bc8b55,NPP ELIKS America Inc. DBA T&M Atlantic
c0493d,MAITRISE TECHNOLOGIQUE
dc3e51,Solberg & Andersen AS
ac0dfe,Ekon GmbH - myGEKKO
fc5b26,MikroBits
40f407,"Nintendo Co., Ltd."
900a3a,PSG Plastic Service GmbH
844915,"vArmour Networks, Inc."
c84544,"Asia Pacific CIS (Wuxi) Co, Ltd"
50ed94,EGATEL SL
48a22d,"Shenzhen Huaxuchang Telecom Technology Co.,Ltd"
c86000,ASUSTek COMPUTER INC.
70a66a,Prox Dynamics AS
e0ef25,"Lintes Technology Co., Ltd."
b01c91,Elim Co
04f17d,Tarana Wireless
7041b7,Edwards Lifesciences LLC
dca8cf,"New Spin Golf, LLC."
a849a5,"Lisantech Co., Ltd."
c467b5,Libratone A/S
4c3910,"Newtek Electronics co., Ltd."
2cbe97,Ingenieurbuero Bickele und Buehler GmbH
f0620d,"Shenzhen Egreat Tech Corp.,Ltd"
2c67fb,"ShenZhen Zhengjili Electronics Co., LTD"
843611,hyungseul publishing networks
3440b5,IBM
98bc57,SVA TECHNOLOGIES CO.LTD
dc3c2e,"Manufacturing System Insights, Inc."
903aa0,Nokia
b06cbf,3ality Digital Systems GmbH
c81afe,DLOGIC GmbH
ec63e5,ePBoard Design LLC
94db49,SITCORP
3ce5b4,KIDASEN INDUSTRIA E COMERCIO DE ANTENAS LTDA
08d09f,"Cisco Systems, Inc"
d4d748,"Cisco Systems, Inc"
344f69,EKINOPS SAS
f8313e,endeavour GmbH
143605,Nokia Corporation
f83553,Magenta Research Ltd.
f4044c,ValenceTech Limited
3497fb,ADVANCED RF TECHNOLOGIES INC
f03a55,Omega Elektronik AS
54d0ed,AXIM Communications
644bf0,"CalDigit, Inc"
64ed62,"WOORI SYSTEMS Co., Ltd"
2c002c,UNOWHY
5cc9d3,PALLADIUM ENERGY ELETRONICA DA AMAZONIA LTDA
b4944e,"WeTelecom Co., Ltd."
e00b28,Inovonics
48022a,B-Link Electronic Limited
c4eeae,VSS Monitoring
f8d3a9,AXAN Networks
24e6ba,JSC Zavod im. Kozitsky
cca374,Guangdong Guanglian Electronic Technology Co.Ltd
58677f,Clare Controls Inc.
70ca9b,"Cisco Systems, Inc"
c87cbc,"Valink Co., Ltd. "
b81413,Keen High Holding(HK) Ltd.
68bc0c,"Cisco Systems, Inc"
cc6bf1,Sound Masking Inc.
18e80f,Viking Electronics Inc.
2c9717,I.C.Y. B.V.
988217,Disruptive Ltd
9ca3ba,SAKURA Internet Inc.
0c5a19,Axtion Sdn Bhd
a8bd1a,Honey Bee (Hong Kong) Limited
345b11,EVI HEAT AB
